Txirrindulari Sailkapena,,,
Posizioa,Txirrindularia,Zenbatek,Puntuak
152,RUSSO Clément ,0,50
153,WELSFORD Sam ,0,50
154,BARGUIL Warren ,0,50
155,FORTUNATO Lorenzo ,0,50
156,SILVA Guillermo Thomas ,0,50
157,SEGAERT Alec ,0,50
158,NAESEN Oliver ,6,48
159,PENHOËT Paul ,0,48
160,KRON Andreas ,0,48
161,DEHAIRS Simon ,0,40
162,MOZZATO Luca ,5,40
163,SWIFT Connor ,0,40
164,ZANA Filippo ,0,40
165,FEDOROV Yevgeniy ,0,40
166,LÓPEZ Harold Martín ,0,40
167,TILLER Rasmus ,0,40
168,ZAMBANINI Edoardo ,0,35
169,GAUTHERAT Pierre ,0,35
170,COQUARD Bryan ,0,32
171,BISIAUX Léo ,0,32
172,FORMOLO Davide ,0,32
173,MAGLI Filippo ,0,32
174,CARAPAZ Richard ,3,30
175,EEKHOFF Nils ,0,30
176,BOL Cees ,0,30
177,HOULE Hugo ,0,30
178,PEÑALVER Manuel ,0,30
179,CRAS Steff ,0,30
180,BOMBOI Davide ,0,30
181,NEILANDS Krists ,0,28
182,VAN DEN BOSSCHE Fabio ,0,25
183,MOLARD Rudy ,0,25
184,KOCH Jonas ,0,25
185,ULISSI Diego ,0,25
186,MIQUEL Pau ,0,25
187,VAN BOVEN Luca ,0,20
188,ALMEIDA GUERREIRO Ruben ,0,20
189,VAN DIJKE Mick ,0,20
190,VAN DIJKE Tim ,0,20
191,LAMPERTI Luke ,0,20
192,JEGAT Jordan ,0,20
193,VILLA Giacomo ,0,20
194,RYAN Archie ,0,15
195,GALVÁN Francisco ,0,15
196,HIGUITA Sergio ,0,10
197,HOWSON Damien ,0,10
198,DELETTRE Alexandre ,0,10
199,DAINESE Alberto ,0,10
200,BÉVORT Carl-Frederik ,0,10
