Sailkapena, Dortsala,Txirrindularia,Zenbatek?,Puntuak
1,61, ROGLIČ Primož,57,242
2,7, VAN AERT Wout,53,171
3,121, MAS Enric,43,150
4,71, GROVES Kaden,43,133
5,51, O'CONNOR Ben,13,130
6,18, SOLER Marc,1,112
7,111, CARAPAZ Richard,54,96
8,141, DUNBAR Eddie,2,94
9,41, SKJELMOSE Mattias,46,88
10,31, LANDA Mikel,44,79
11,202, CASTRILLO Pablo,0,77
12,101, GAUDU David,7,73
13,66, LIPOWITZ Florian,11,71
14,171, POOLE Max,9,70
15,172, BITTNER Pavel,6,70
16,205, MIQUEL Pau,0,69
17,146, SCHMID Mauro,1,68
18,15, VINE Jay,4,63
19,14, SIVAKOV Pavel,1,59
20,105, KÜNG Stefan,0,53
21,16, YATES Adam,51,51
22,87, STRONG Corbin,7,50
23,201, BERRADE Urko,1,49
24,26, RODRÍGUEZ Carlos,44,44
25,46, VACEK Mathias,4,43
26,68, VLASOV Aleksandr,9,32
27,73, HERMANS Quinten,1,32
28,91, VAN EETVELT Lennert,12,32
29,81, WOODS Michael,4,31
30,106, PACHER Quentin,0,30
31,148, ZANA Filippo,0,30
32,151, RODRÍGUEZ Cristián,1,24
33,83, FRIGO Marco,0,23
34,24, NARVÁEZ Jhonatan,6,22
35,12, BARONCINI Filippo,0,20
36,11, ALMEIDA João,56,17
37,33, CATTANEO Mattia,0,17
38,162, BRAET Vito,0,17
39,212, ABERASTURI Jon,0,17
40,174, LEEMREIZE Gijs,0,14
41,35, LECERF William Junior,0,13
42,45, OOMEN Sam,0,13
43,53, BERTHET Clément,0,13
44,131, TIBERI Antonio,39,13
45,164, MARIT Arne,1,13
46,183, COQUARD Bryan,14,13
47,1, KUSS Sepp,56,10
48,56, GALL Felix,2,9
49,74, HOLLMANN Juri,0,9
50,185, IZAGIRRE Ion,1,9
51,13, DEL TORO Isaac,13,7
52,37, VANSEVENANT Mauri,0,7
53,85, RICCITELLO Matthew,5,7
54,92, CAMPENAERTS Victor,0,7
55,124, LAZKANO Oier,3,7
56,211, JUARISTI Txomin,0,7
57,181, MARTIN Guillaume,0,5
